2043F	2958E
55DA	545C
55DA	6B4D
55DC	29759
55DD	35C6
55E3	5B60
55E4	3C1E
55E5	5637
55E9	5522
55F7	55F8
55F9	8B30
55FC	20EF6
55FD	55CD
55FE	20EDB
5600	5519
5601	35E4
5604	210A2
5608	21170
560C	2113A
560D	55BD
560E	5620
5610	21012
5612	5696
5614	5455
5616	5567
5616	8B2E
5617	5C1D
5617	751E
561C	551B
562C	6B3C
562E	54F0
562E	5520
562F	5578
562F	5628
562F	6B57
5630	53FD
5632	8B3F
5634	5480
5635	20D70
5635	54D3
5636	24E8A
5638	5452
563B	8B46
563E	2117F
5653	5618
5660	54D2
5665	54DD
5665	8B68
5666	54D5
5667	21096
5668	20F96
5668	5650
566F	55F3
5671	20ED4
5672	54D9
5674	20D2E
5674	55B7
5678	5428
5680	549B
5682	3615
5685	54AE
5687	5413
5687	54E7
5695	565C
569A	20F7A
56A6	5456
56A8	5499
56AB	478B
56AD	567D
56B4	4E25
56B4	53B3
56B5	2115B
56BC	564D
56C0	556D
56C1	55EB
56C2	56A3
56C2	56BB
56C5	5181
56C8	5453
56C8	8B9B
56CA	56A2
56CB	21090
56D1	5631
56D2	3613
56DF	267A4
56E0	56D9
56E4	5C6F
56EE	3625
56FA	6018
56FF	21239
5703	211CA
5707	56F5
5708	21215
5708	570F
571F	5721
5722	4D7A
5728	21248
572A	2125B
5730	5754
573C	363F
5744	57BC
574C	574B
574D	3631
5768	5768
5769	3F4D
5776	3641
577B	2126C
577C	21369
5782	57C0
578B	5753
5791	212DD
5793	9654
5794	213B1
5794	363B
5799	28E42
579B	579C
579D	9652
579E	28F11
57A2	5778
57A3	25963
57B6	365A
57C2	213A9
57D0	213B9
57D2	57D3
57DF	49D5
57E0	21E20
57E8	966F
57ED	254CF
57F5	2144A
57F7	6267
57F7	74E1
57FA	2125D
5800	259CA
5805	575A
5806	5796
5808	24B5B
580B	2599C
581D	57DA
581E	21462
5821	5822
5824	9684
582B	26515
582E	21447
582F	5C27
582F	5C2D
5830	5895
5831	62A5
5834	362F
5834	573A
5834	5872
584A	5757
584B	8314
584D	757B
584F	57B2
5851	5850
5852	57D8
5854	5896
5856	5818
5857	6D82
5858	49DC
5860	4703
586B	5861
586B	7AB4
5875	5C18
5879	5811
5879	58CD
587E	28D9D
5880	213B0
5881	3662
5883	362B
5889	49E1
588A	57AB
5890	214A3
589C	40CD
589C	5760
589E	22D23
589E	5897
58A1	78F0
58A2	577A
58A5	7583
58A9	58AA
58AC	214B0
58AE	5815
58B3	575F
58BA	21331
58BA	572B
58BC	24B9B
58BD	2148B
58BE	57A6
58C5	3672
58C6	5763
58D3	538B
58D3	5727
58D4	2144F
58D8	21501
58D8	367C
58D8	5792
58D8	5841
58D9	5739
58DA	5786
58DF	5784
58E2	21243
58E2	575C
58E4	269B6
58E4	5735
58E4	58CC
58EB	4ED5
58EC	2151B
58EF	2125F
58EF	58EE
58F4	27BDB
58FA	58F6
58FA	58F7
58FC	58F8
58FD	5900
58FD	5BFF
5903	3689
5916	21584
5919	2158A
591A	591B
591C	4EB1
5920	591F
5922	5923
5922	68A6
5924	215B7
5925	368C
5925	4F19
5927	20632
5929	44B6
592B	4F15
592C	53CF
5930	368F
5937	215DD
593E	5939
5943	215E8
5947	7AD2
5948	67F0
5949	20B3B
594E	595E
5950	22345
5950	5942
5951	6814
5954	7287
5954	9029
5957	21637
5957	3690
5958	5953
5958	5962
5958	5F09
5967	20187
5967	5965
596A	2165C
596A	593A
596D	21690
596E	594B
5973	20A30
5974	36A2
5978	59E7
597B	2181B
597D	21946
597D	3740
597F	216BA
5984	216B6
5985	5A02
598A	59D9
598E	216D0
5996	21769
5998	21900
5998	370F
5999	7385
599D	5986
599D	5A24
599D	7CA7
59A0	21734
59A3	216A7
59A4	4F03
59A6	36D4
59A8	3903
59AF	36E9
59BF	36B3
59C6	5A12
59CB	4E68
59CC	36A9
59CD	36FD
59CD	59D7
59D0	6BD1
59D2	36B6
59DB	2171D
59DD	216BE
59DE	21729
59E1	21736
59E3	36A3
59F0	217F1
59F6	36D5
59F9	597C
59FA	48BE
59FB	5A63
59FC	216BC
5A00	217A8
5A01	24C34
5A0B	2184F
5A0E	2174A
5A11	9024
5A14	217A2
5A18	5A18
5A1B	5A2F
5A1B	5A31
5A1C	217E6
5A1F	59E2
5A20	36DB
5A29	5A4F
5A38	21791
5A40	5A3F
5A41	5A04
5A46	3711
5A49	59B4
5A58	5B49
5A5A	36F0
5A66	5987
5A66	5A8D
5A67	5A59
5A69	216E2
5A6D	5A05
5A7F	58FB
5A7F	805F
5A8A	21814
5A8C	3464
5A9F	21704
5AA3	21709
5AA6	218C3
5AA7	21893
5AA7	5A32
5AAF	59AB
5AAF	5B00
5AB8	599B
5ABD	5988
5AC2	36EE
5AD5	7631
5AD6	2191A
5AD7	59AA
5AD8	2192F
5AD9	2184D
5ADA	2189A
5ADF	5B3A
5AE1	2187F
5AE2	2181D
5AE5	217A4
5AE7	218B2
5AE9	5AF0
5AEB	2181C
5AED	5AEE
5AEF	371C
5AF3	21879
5AF5	218C6
5AF5	59A9
5AF7	5AA0
5AF8	218CC
5AFB	21883
5AFB	5A34
5AFB	5AFA
5AFC	218EB
5AFD	218B4
5B03	21853
5B08	5A06
5B0B	21810
5B0B	5A75
5B0C	5A07
5B19	218F0
5B19	5AF1
5B1B	218F1
5B21	5AD2
5B2A	5A26
5B2A	5AD4
5B2C	21889
5B30	5A74
5B30	5B46
5B30	5B7E
5B32	204B0
5B38	5A76
5B3F	5B0A
5B42	25D9E
5B43	5A18
5B43	5B22
5B48	218F8
5B4B	21808
5B4B	36E4
5B4C	373B
5B4C	5A08
5B50	373D
5B54	2193F
5B55	2339C
5B57	2195C
5B58	20A6F
5B5B	21947
5B5F	2506A
5B64	268EE
5B69	373E
5B6B	2193E
5B6B	5B59
5B70	20169
5B74	21966
5B77	2197D
5B78	5B66
5B78	6588
5B7A	21997
5B7B	2198C
5B7F	3748
5B7F	5B6A
5B84	219EB
5B85	219EA
5B87	3762
5B88	374A
5B93	27DA1
5B98	2054D
5B9C	3756
5B9C	519D
5BA3	3749
5BA6	41A0
5BB3	219F1
5BBF	375B
5BC1	229E3
5BC2	21A1C
5BC3	21A1A
5BC3	51A4
5BC5	2699A
5BC5	3759
5BC6	5BBB
5BC7	34C2
5BC7	51A6
5BC7	5BBC
5BCC	51A8
5BCE	7A89
5BD3	5EBD
5BD4	259BD
5BD6	23F67
5BE2	5BD1
5BE2	5BDD
5BE3	21A7A
5BE5	374B
5BE6	5B9E
5BE6	5B9F
5BE6	5BB2
5BE9	5BA1
5BEB	374D
5BEB	5199
5BEB	51A9
5BEC	5BBD
5BEC	5BDB
5BEF	3766
5BF5	5BA0
5BF6	5B9D
5BF6	5BF3
5BF6	73E4
5BFA	4999
5C04	4836
5C07	2F873
5C07	5C06
5C08	4E13
5C08	5C02
5C0A	2235C
5C0B	3777
5C0B	5BFB
5C0D	5BF9
5C0D	5BFE
5C0E	23726
5C0E	5BFC
5C0F	21B90
5C11	23957
5C16	21B5E
5C1A	5C19
5C24	6023
5C3E	3791
5C40	4FB7
5C41	21CA9
5C4B	2693F
5C4D	5C38
5C4E	21C91
5C50	21C38
5C51	3795
5C55	37A1
5C55	382D
5C5C	5C49
5C60	2F877
5C62	5C61
5C64	5C42
5C68	5C66
5C6C	21C46
5C6C	5C5E
5C6D	5C53
5C6F	5C6F
5C79	9623
5C7A	37AF
5C8C	57C1
5C8C	5C8B
5C8C	5C8B05C91
5C8D	2F87A
5CA2	37B9
5CAB	25949
5CB3	5CB3
5CB7	37B6
5CB7	37E9
5CB7	37ED
5CB8	37C1
5CB8	57BE
5CD2	5CDD
5CDB	5CF2
5CED	9657
5CEE	37D2
5CF4	5C98
5CF6	3800
5CF6	5C9B
5CF6	5D8B
5CF6	5D8C
5CFB	57C8
5D06	21F14
5D07	5D08
5D0D	5D03
5D1B	21D8F
5D22	21E35
5D22	5CE5
5D3F	37E7
5D50	5C9A
5D69	5D27
5D6F	5D73
5D7E	37E5
5D7E	3801
5D81	37FA
5D81	5D5D
5D84	5D2D
5D87	5C96
5D87	5CB4
5D8D	3804
5D97	5D02
5DA0	3810
5DA0	5CE4
5DA2	5CE3
5DA8	5CC3
5DB4	3817
5DB7	381C
5DB8	5D58
5DBD	21D93
5DBD	5CB3
5DCB	5CBF
5DCD	21FC1
5DD1	381D
5DD4	5DC5
5DD4	5DD3
5DE1	5EF5
5DE2	5DE3
5DE5	2201A
5DEB	2236E
5DF0	5DEF
5DF1	22012
5DFD	5DFA
5DFE	461C
5E06	295CB
5E06	3836
5E11	4F16
5E15	5E0A
5E1A	83F7
5E1D	22087
5E25	48A6
5E25	5E05
5E2B	20D40
5E2B	5E08
5E33	5E10
5E33	8CEC
5E33	8D26
5E36	5E26
5E36	5E2F
5E3D	5183
5E40	3860
5E40	5E27
5E45	42F9
5E52	220EA
5E57	5E3C
5E57	7C02
5E58	5E3B
5E5F	220B4
5E5F	5E1C
5E62	6A66
5E63	5E01
5E63	5E64
5E6B	5E2E
5E6B	5E47
5E6C	5E31
5E74	412D
5E74	79CA
5E7B	3555
5E7C	34DC
5E7D	51FC
5E7E	51E0
5E8A	7240
5E8F	57BF
5E95	3873
5E9C	221EF
5EA1	3548
5EAB	5E93
5EB6	22259
5EB6	5EBB
5EB8	2018C
5EC1	5395
5EC1	53A0
5EC2	53A2
5EC8	221D7
5EC8	53A6
5EC9	3898
5ECA	F928
5ECE	5EBC
5ED3	22313
5EDA	3551
5EDA	53A8
5EDF	5E99
5EDF	5EBF
5EE1	5E91
5EE2	5E9F
5EE3	2220E
5EE3	5E7F
5EE3	5E83
5EEC	21CEC
5EEC	5E90
5EF3	5385
5EF3	539B
5EF3	5E81
5EF3	5EF0
5EFA	8FE0
5F04	6335
5F08	22338
5F12	5F11
5F18	239C0
5F19	38AA
5F1B	38AE
5F26	223BA
5F26	7D43
5F2D	223F1
5F31	22405
5F33	5F2A
5F35	5F20
5F37	5F3A
5F37	5F4A
5F48	5F39
5F48	5F3E
5F4E	5F2F
5F57	7BF2
5F65	5F66
5F80	5F83
5F80	8FEC
5F85	25A73
5F87	72E5
5F8C	540E
5F90	28466
5F99	224CA
5F9E	4ECE
5F9E	5F93
5FAC	2251A
5FAE	38F2
5FB7	5FB3
5FB7	60B3
5FB7	60EA
5FB9	5F7B
5FBD	22FB0
5FBD	5E51
5FCD	38FC
5FD7	225CD
5FD8	3900
5FDD	3901
600D	3930
6015	225CC
6016	6091
601D	6056
6025	3902
6027	278B1
6028	392A
602A	6060
602F	3E64
6041	391B
6043	22625
6046	6052
604D	6033
6050	22662
6050	391F
605A	392C
6062	3DC7
6063	2264A
6065	803B
6068	22689
6069	3919
606A	3929
606A	6119
606C	22656
607F	6142
6084	225B9
6085	6071
6085	60A6
6089	2263B
608D	7302
6094	209E9
609A	612F
609F	5FE2
60A0	22690
60A3	22836
60B1	3971
60B4	5FF0
60B4	9847
60B5	247D4
60B5	6005
60B6	3943
60B6	95F7
60B8	75F5
60BB	5A5E
60BC	226C2
60C5	5568
60C7	396B
60D5	6090
60D5	60D6
60DC	2287D
60DF	226E7
60F1	22649
60F1	226B0
60F1	607C
60F1	60A9
60F2	607D
60F9	2272A
60FB	22754
60FB	607B
6101	22772
6108	7609
6111	6139
6115	398D
611B	3905
611B	7231
611C	3966
611C	60EC
611F	229A1
6134	6006
6137	607A
6141	3975
614B	3477
614B	6001
614C	2F8A1
614C	393A
614D	6120
614E	613C
614E	661A
614E	7718
6158	60E8
615A	60ED
615A	6159
615D	22903
615F	6078
615F	6185
6164	60AB
6164	6128
616A	6004
616B	6002
616E	8651
6173	60AD
6176	5E86
6177	5FFC
617C	617D
6182	5FE7
618A	60EB
6190	228F6
6190	601C
6192	6126
6194	9866
6196	616D
61A4	6124
61A9	6187
61AB	22865
61AB	60AF
61AE	6003
61AF	39A7
61B2	5BAA
61C7	22729
61C7	22846
61C7	6073
61C7	61BE
61C9	5E94
61C9	5FDC
61C9	8B4D
61CA	3907
61CC	603F
61CD	2292D
61D5	3994
61DF	39A0
61DF	603C
61E3	3996
61E3	61D1
61E4	399E
61E6	3421
61E8	6079
61F2	60E9
61F5	61DC
61F6	5B3E
61F6	61D2
61F7	6000
61F7	61D0
61F8	60AC
61FA	5FCF
61FA	61F4
61FC	60E7
61FC	6133
61FE	34A4
61FE	6151
61FF	39A4
6200	604B
6207	6206
6210	229A9
6214	620B
6216	39AF
621A	2949B
621B	621E
621F	39B8
6229	622C
622A	229F5
6230	229D0
6230	6218
6230	6226
6236	39BF
6236	6237
6236	6238
6240	22A37
6245	39BE
624D	624D
6260	640B
626F	64A6
6276	22EF3
627C	39D6
627F	22ABB
6284	6477
6291	22AFD
62AB	7FCD
62AC	64E1
62B5	638B
62C2	6255
62C6	22BEA
62C7	80DF
62CD	22AE6
62CE	3A55
62D4	2F8B8
62D4	629C
62D7	629D
62D8	6285
62DA	22AB4
62DA	6283
62EC	22B38
62ED	22091
62EF	628D
62F1	5171
62F3	643C
62FE	62FE
62FF	39F1
62FF	62CF
6305	6306
6307	22AFE
6328	22C07
6332	6331
633E	62B8
633E	631F
6343	6508
6343	651F
634C	634C
634D	625E
6367	6340
636B	626A
6377	3A17
637D	22A84
6383	57FD
6383	626B
6384	62A1
6388	25893
6389	22D3F
638F	642F
6396	814B
6397	631C
6398	6485
6399	6323
639B	6302
63A0	22C4A
63A2	64A2
63A5	64D1
63AA	22D44
63AC	63C8
63C0	3A9D
63C0	62E3
63C6	22C95
63C9	26F69
63D2	633F
63D2	63F7
63D6	22BC7
63DA	22F99
63DA	626C
63DB	6362
63E1	26946
63E3	22B4D
63E9	22F86
63EE	22C73
63EE	6325
640D	627B
640D	635F
640F	27F62
6413	22DFC
6414	24522
642C	22C8E
6432	6528
6436	62A2
6436	6464
6450	39FF
6451	229F7
6451	63B4
6458	64FF
645F	6402
6469	22CC0
646F	631A
6473	62A0
6473	630E
6479	22E06
6487	6486
6488	635E
648F	6326
6490	6491
6493	6320
649A	6375
64A3	63B8
64A5	62E8
64AB	629A
64AD	8B52
64AE	22CBB
64B3	63FF
64BB	631E
64BC	3A14
64BF	6361
64C1	22E6C
64C1	3A23
64C1	62E5
64C2	6502
64C4	22CB8
64C4	63B3
64C6	64AF
64C7	629E
64C7	62E9
64CA	51FB
64CA	6483
64CB	6321
64CB	6529
64D2	6272
64D3	39DF
64D3	3A24
64DA	22D03
64DA	3A3F
64DA	3A40
64DA	62E0
64DA	636E
64E0	3A08
64E0	6324
64EB	3A4E
64EC	62DF
64EF	6448
64F0	62E7
64F1	6401
64F2	63B7
64F4	3A2F
64F4	6269
64F4	62E1
64F4	6304
64F7	64B7
64FA	6446
64FB	64DE
64FC	64B8
64FE	6270
6500	22E05
6504	6445
6506	64B5
650D	3A15
650F	62E2
6514	62E6
6515	3A65
6516	6484
6519	6400
651B	64BA
651C	3A57
651C	3A66
651C	643A
651D	6315
651D	6442
651D	6444
6522	6512
6523	22376
6523	631B
6524	644A
6524	64F9
652A	6341
652A	6405
652A	64B9
652B	3E15
652C	63FD
652C	64E5
653E	5338
654F	52C4
6551	6344
6556	22F8D
6557	8D01
6557	8D25
6559	279FF
6559	654E
6562	20B56
6566	3A9F
6567	69E3
6572	3AA3
6573	6571
6574	6138
6575	654C
6577	65C9
6578	6570
6582	655B
6582	6B5B
6590	595C
6591	8FAC
6595	6593
6599	427C
659F	9159
65A1	282FC
65A5	387F
65A7	9207
65AC	65A9
65AF	23095
65B0	230BA
65B2	65B5
65B7	230A2
65B7	3AC1
65B7	65AD
65B9	24657
65C1	3AC4
65C3	3ACB
65C5	6314
65CB	22B40
65CC	2644A
65D6	65D1
65D7	23103
65D7	3AC5
65E2	65E3
65E5	56F8
65E8	23140
65E8	3AD1
65E9	2317C
65EC	208D9
65ED	65EE
65F1	6658
6602	663B
660C	2314A
660F	662C
6614	3AFA
661F	66D0
6620	668E
6625	3AEA
6625	65FE
6627	2319C
662D	4F4B
6642	65F6
6643	6644
6645	6685
6649	23206
6649	3B1C
6649	664B
665D	2316F
665D	663C
665E	70EF
6664	2314E
6668	3AF3
666C	23162
666E	669C
666F	3B0C
6674	591D
6674	6692
6674	FA12
6688	6655
6690	3B19
6697	667B
6698	65F8
66A4	66CD
66A8	2690C
66A8	66C1
66AB	6682
66B3	3B29
66B4	3AE7
66B4	3B25
66B4	3B27
66BE	65FD
66C4	6654
66C4	66C5
66C7	6619
66C9	6653
66C9	6681
66D6	66A7
66D6	77B9
66DD	3B0D
66E0	65F7
66E0	720C
66E8	663D
66EC	3B20
66EC	6652
66F3	26959
66F3	66F5
66F4	3A85
66F8	4E66
66F9	66FA
66FE	66FD
66FF	3B31
6703	23948
6703	4F1A
6708	20971
6712	80AD
6717	6716
671B	6722
671F	671E
6727	80E7
6745	6859
6751	90A8
6753	2F8DC
675E	2F8DB
675F	24668
676F	3B8E
676F	686E
676F	76C3
6771	4E1C
6771	83C4
6777	6B1B
6787	6788
6790	3B4A
6795	233DD
679A	233FD
679C	83D3
67AF	245B2
67B2	4884
67B6	69A2
67CF	6822
67D3	23471
67D4	23431
67E5	67FB
67E9	67FE
67F3	6801
67F3	687A
67FF	67F9
681A	3BB3
6821	630D
682F	3B8B
6834	3BB5
683D	25BD2
6843	2346F
6851	6852
6854	3BAE
6871	23415
6885	6973
6890	3BC7
6894	6800
6897	23580
6898	67A7
689F	4CB7
689F	67AD
68A2	4230
68A8	68C3
68B1	68DE
68B3	2340C
68C4	5F03
68C9	3B8C
68CB	3BE6
68CB	68CA
68CB	7881
68D2	3B4B
68D5	6936
68D6	67A8
68D7	67A3
68E0	3B7B
68E1	3B4E
68EC	684A
68EF	3C02
68F2	637F
68F2	6816
68FB	3BE3
6912	2348F
694A	6768
6953	67AB
6953	6A92
6954	698D
695A	4802
695A	6918
695A	6A9A
6960	678F
6966	6965
6968	6862
696B	6A9D
696B	8265
696D	4E1A
6979	686F
6982	3BA3
6982	69EA
6986	6961
699B	234C0
699B	3C09
699C	3B84
69A8	643E
69AB	22C9C
69AD	236D8
69AE	6804
69AE	8363
69B2	6985
69B4	6A4A
69B7	3A41
69BB	3BD3
69BF	6864
69CA	77DF
69CA	9399
69CB	6406
69CB	6784
69CD	25384
69CD	67AA
69D4	6A70
69D9	69C7
69E7	6920
69E8	6901
69F3	3BCD
69F3	4482
69F3	6868
6A00	3C05
6A01	6869
6A02	4E50
6A02	697D
6A05	679E
6A0A	68E5
6A13	697C
6A15	3BC8
6A1E	67A2
6A21	6A45
6A23	6837
6A23	69D8
6A35	6AF5
6A39	235F3
6A39	6811
6A3A	6866
6A3A	6AB4
6A3D	58AB
